KP_index,KP_textid,KP_textid2,KP_textid3,L1_index,L1_textid,L2_index,L2_textid,L3_index,L3_textid
84,2164,varmir:m1.2,https://varmir-m1-v1#/id/a05be35b4e7a4699b3f0a1a8e25182ec,1,cse3,3,varmir,22,https://varmir-m1-v1
85,2165,varmir:m1.3,https://varmir-m1-v1#/id/88cd7393d080448c9c37695f601632e7,1,cse3,3,varmir,22,https://varmir-m1-v1
86,2173,varmir:m2.1,https://varmir-m2-v1#/id/14ff5bb7a06f4a30a49f47e246ca5dc2,1,cse3,3,varmir,23,https://varmir-m2-v1
87,659,varmir:m2.2,https://varmir-m2-v1#/id/46c77cd0da114307abe4001a6bbd01dc,1,cse3,3,varmir,23,https://varmir-m2-v1
88,799,varmir:m2.3,https://varmir-m2-v1#/id/8f857eb9099941efaf0f514e08e85295,1,cse3,3,varmir,23,https://varmir-m2-v1
89,2179,varmir:m2.4,https://varmir-m2-v1#/id/0c59914f84ac4a80a61697b5b5a670ac,1,cse3,3,varmir,23,https://varmir-m2-v1
90,1575,varmir:m3.1,https://varmir-m3-v1#/id/f6c6f3d67cae4ca99c2f0594426076ea,1,cse3,3,varmir,24,https://varmir-m3-v1
91,2079,varmir:m3.2,https://varmir-m3-v1#/id/9e6985b3ec9644739e1fb2c43dbb4722,1,cse3,3,varmir,24,https://varmir-m3-v1
92,1585,varmir:m4.1,https://varmir-m4-v1#/id/4526a59629bf49db9501b8d919f7aa30,1,cse3,3,varmir,25,https://varmir-m4-v1
93,1586,varmir:m4.2,https://varmir-m4-v1#/id/46fc4a8ea18e4702912bbf62417c3c98,1,cse3,3,varmir,25,https://varmir-m4-v1
94,1588,varmir:m4.3,https://varmir-m4-v1#/id/4bb5266b9a1d40b184e1c7a797ad1bec,1,cse3,3,varmir,25,https://varmir-m4-v1
95,2166,varmir:m5.1,https://varmir-m5-v1#/id/2b9b2e2e4a4a43c6b413a5439b46eca5,1,cse3,3,varmir,26,https://varmir-m5-v1
96,2167,varmir:m5.2,https://varmir-m5-v1#/id/00ba0499a07d47bdb29d77bffa3f378c,1,cse3,3,varmir,26,https://varmir-m5-v1
97,2168,varmir:m5.3,https://varmir-m5-v1#/id/e4cf9eea6bd1470c8ce1ae3648a37f1c,1,cse3,3,varmir,26,https://varmir-m5-v1
98,1618,varmir:m6.1,https://varmir-m6-v1#/id/2d761892b9c744ff86c32c3ca49869eb,1,cse3,3,varmir,27,https://varmir-m6-v1
99,1619,varmir:m6.2,https://varmir-m6-v1#/id/1e5ecad3a7d74e22ab9af62ee93a8616,1,cse3,3,varmir,27,https://varmir-m6-v1
100,2181,varmir:m6.3,https://varmir-m6-v1#/id/66b1556cbd974aa6b05aa7491d453569,1,cse3,3,varmir,27,https://varmir-m6-v1
101,1605,varmir:m6.4,https://varmir-m6-v1#/id/6161d2aebb854d35a43cdab3b71eb298,1,cse3,3,varmir,27,https://varmir-m6-v1
102,2169,varmir:m6.5,https://varmir-m6-v1#/id/ce42dcb4b0fd43579dac20b656ec2414,1,cse3,3,varmir,27,https://varmir-m6-v1
