question_textid,PKSmodel_index,total_attempts,proportionCorrect,continuousPKSdifficulty,discretePKSdifficulty,difficultyRatingConfidence
299170,354,365,0.852,0.772,23,High
299171,355,613,0.799,0.685,31,High
299172,356,519,0.9,0.83,17,High
299179,357,427,0.754,0.677,32,High
299180,358,430,0.605,0.513,49,High
299181,359,484,0.818,0.751,25,High
299183,360,490,0.743,0.662,34,High
299184,361,359,0.727,0.641,36,High
299190,362,446,0.749,0.617,38,High
299193,363,484,0.798,0.72,28,High
299195,364,400,0.793,0.697,30,High
299197,365,439,0.888,0.816,18,High
299199,366,429,0.855,0.72,28,High
299200,367,471,0.8,0.689,31,High
299201,368,607,0.792,0.655,34,High
299202,369,417,0.664,0.521,48,High
299203,370,309,0.644,0.596,40,High
2ba820a39863487b853f1de42f5535db,371,483,0.605,0.519,48,High
2bb0ad20e8864fc7918fe175c4aa0aa2,372,426,0.838,0.786,21,High
2bbcecbf2b0249418572f946262ac0f2,373,589,0.688,0.642,36,High
2c7581d93ae24d4ebcde5c07d21c9739,374,938,0.441,0.432,57,High
2e72e178583e42f19ae09161f22ad70c,375,416,0.709,0.628,37,High
2e807efbb6d34278ae31ef5c60a684f4,376,543,0.611,0.551,45,High
300330,377,447,0.881,0.813,19,High
300331,378,722,0.924,0.862,14,High
300332,379,587,0.811,0.676,32,High
300334,380,627,0.858,0.766,23,High
300336,381,557,0.801,0.734,27,High
300340,382,573,0.745,0.59,41,High
300343,383,429,0.841,0.718,28,High
300345,384,427,0.745,0.592,41,High
300350,385,568,0.768,0.598,40,High
300351,386,424,0.8,0.681,32,High
300352,387,693,0.88,0.759,24,High
300354,388,475,0.789,0.651,35,High
300359,389,479,0.67,0.426,57,High
300361,390,518,0.867,0.823,18,High
300362,391,519,0.761,0.665,33,High
300364,392,620,0.723,0.6,40,High
300365,393,584,0.83,0.686,31,High
300369,394,289,0.72,0.53,47,High
300370,395,469,0.655,0.477,52,High
300371,396,508,0.774,0.639,36,High
300372,397,584,0.692,0.469,53,High
300373,398,470,0.706,0.566,43,High
300375,399,472,0.742,0.591,41,High
300379,400,580,0.771,0.571,43,High
301039,401,660,0.653,0.504,50,High
301049,402,647,0.839,0.828,17,High
301056,403,572,0.841,0.729,27,High
301057,404,591,0.807,0.651,35,High
301058,405,502,0.765,0.615,38,High
301059,406,322,0.742,0.537,46,High
301061,407,564,0.908,0.832,17,High
301062,408,429,0.811,0.681,32,High
301063,409,433,0.843,0.705,29,High
301075,410,841,0.837,0.807,19,High
301076,411,472,0.691,0.571,43,High
301078,412,819,0.756,0.748,25,High
301079,413,460,0.683,0.611,39,High
301080,414,787,0.713,0.634,37,High
301081,415,453,0.722,0.589,41,High
