question_index,question_textid,KP_index,deltaMeanZShiftCorrect,deltaMeanZShiftIncorrect,centerValue,iqta,weights_1,weights_2,weights_3,weights_4,inTestBank
292,294169,12,0.0179680337010305,-0.381787636912003,1.74053030246833,0.0246538204138096,0.410383676409908,0.147868089978458,-0.158386915082761,0.190186215248278,1
293,294171,11,0.0807669010591295,-0.0656290211676735,-0.164969336146326,0,0.666663285784909,-0.171528260510259,0.0131696883014875,-0.0572423704903863,1
294,294207,10,0.0582389237030632,-0.219258639445861,0.851046800115366,0,0.453458598284908,-0.0364924570022808,0.0969411484735087,0.0210428257672091,1
295,296568,74,0.0595778388940764,-0.151487839262722,0.723282649209657,0,0.805100356097408,-0.0758759794223147,0.0869755350307072,-0.153442636893286,1
296,296571,75,0.0568510765672197,-0.312186851495208,1.15592653303461,-0.311104831316188,0.238987465472408,0.477319816657351,-0.0670136040194098,0.0309348890100404,1
297,296572,75,0.0736810488771649,-0.131790524483075,0.401034637325604,0,0.525010785784908,-0.0834102184939734,0.102458027632051,-0.0733287367676037,1
298,296586,20,0.0759360734455318,-0.0867696899072308,0.0845446711132212,0,0.211027035784908,0.0426170532501354,0.0208967204085505,0.0273207595593501,1
299,296864,14,0.0796252294891133,-0.261878716758338,0.778619313771991,0,0.523495785784909,0.22848792620955,0.0179912163017661,-0.0775330743032342,1
300,296865,14,0.0292943999588183,-0.0366929200832902,0.185498289400647,0,0.523495785784909,-0.213539940490169,-0.228080615077779,0.124588224684976,1
301,296866,14,0.0756210869412284,-0.198044748859135,0.640512946220667,0,0.523495785784909,0.0164469879898664,-0.0720223539522868,0.110755135604582,1
302,297114,18,0.106335502212466,-0.294984247232458,0.669092865281486,0,0.551902035784908,0.22911800905805,0.0181532179905815,0.0210428257672091,1
303,297119,18,0.0832878544951257,-0.185366391105119,0.512191900297939,0,0.324652035784908,0.23277097345643,-0.0692548361775675,0.0210428257672091,1
304,297122,76,0.0723711274470156,-0.363938373772889,1.01269054013652,0,0.408545160784908,0.344614469372454,0.0222908773594879,0.0149989876045245,1
305,297123,17,0.0307291633421624,-0.0383331967048072,0.169127779319559,0,0.57009727132775,-0.409380688336013,0.0171217509777254,0.0224502243766508,1
306,297124,18,0.046302167978,-0.166542533249238,0.831652009635131,0,0.438277035784908,-0.0234996180231918,0.064896637786948,-0.0573063752579475,1
307,297686,15,0.0352773391026902,-0.13622528505492,0.938374780821075,0,0.551902035784908,-0.0891697019130989,0.0153947784113105,-0.0716368975628532,1
308,297688,23,0.0148957408925649,-0.0512411816295664,0.796575688872519,0,0.269796410784908,-0.0868348726174546,0.0188322781851364,-0.074484177421947,1
309,297691,28,0.0984493492494014,-0.316972455346812,0.760687574968516,0.002,0.452417035784908,0.0426170532501354,-0.0695560791441768,0.401365011591812,1
310,297701,29,0.0472681327945141,-0.291016306467176,1.11750319533736,0,0.387090551409909,-0.0767892205219097,0.0893001145786467,0.182912799639776,1
311,297734,21,0.0411823758417527,-0.189003798832137,0.985122091344548,0,0.476152035784909,0.113344279243973,-0.156662890345716,0.0225537853078802,1
312,297735,21,0.0116769590035001,-0.00912796448809342,-0.465662370403991,0,0.667111944832601,-0.49834908572602,-0.0532274759667846,0.0225623798654445,1
313,297743,22,0.0665929915243331,-0.419386419231811,1.14375046685981,0,0.466683285784908,0.310767471118715,-0.070634055967203,0.16016549563139,1
314,297744,22,0.0730175635328817,-0.22755112466477,0.720063569474306,0,0.286777035784908,0.307114506720335,-0.0679892290292441,0.0285976234705647,1
315,297747,19,0.0911881849395225,-0.369147425986487,0.893813688958539,0,0.362527035784908,0.457462719153649,-0.115349128504393,0.17196075871462,1
316,297749,19,0.107014598820007,-0.273413725199565,0.600584532022338,0,0.398382035784908,0.0513784600493748,0.0181532179905815,0.255076786057706,1
317,297750,19,0.0479917329623218,-0.0824313594574553,0.363506107871916,0,0.414610727152327,-0.263814102617419,-0.0670042382586743,0.195222532564333,1
318,297751,19,0.0514804920070013,-0.285454809084469,1.08346024107286,0,0.493763910784908,-0.0713097739243398,0.180602241099938,0.0285976234705647,1
319,297758,27,0.131464200947397,-0.154589349510565,0.103307708176625,0,0.276929535784908,0.14660954574265,0.000442474524553539,0.114155707461068,1
320,297760,26,0.0820123894295729,-0.104788246734512,0.163408598281232,0,0.413658285784908,0.0183020089734187,-0.0508939727280451,0.0111035450387317,1
321,297761,27,0.0773692339552101,-0.0813729778326353,0.0317619459808371,0,0.127323285784908,0.0426170532501354,0.011257119042404,0.108445846783627,1
322,297763,27,0.0257170215707312,-0.352763632441174,1.56647520373771,0,0.505584067034908,0.0353111244533754,-0.0535662110704638,0.146222282400389,1
323,298794,24,0.13913523010135,-0.470467902901752,0.797531391541616,0,0.440297035784908,0.590790023282029,0.0129560095873513,0.200146047647513,1
324,298795,25,0.077453710506142,-0.293081927960832,0.842027661753505,0,0.404599848284908,0.260425055503541,0.014015558621675,0.00536191088884121,1
325,298796,24,0.0438238534398367,-0.230135564250116,1.10675473757447,0,0.633570004534908,0.0138947216433064,-0.242735248883676,0.201484447163295,1
326,298798,23,0.0247405737767644,-0.220979242528321,1.30786130911989,0,0.269796410784908,0.0316581600549955,-0.15358438034869,0.244277746514349,1
327,298799,23,0.0218364654845202,-0.210341293314457,1.43883826019921,0.0502755102154926,0.562033598284908,-0.0846670412283373,-0.157697305187943,0.154213323007056,1
328,299109,37,0.0588267766569576,-0.134723941665557,0.542490754922121,0,0.400402035784908,0.0407905710509454,-0.0747717153361095,0.0225537853078802,1
329,299110,37,0.022442716641843,-0.160782207684294,1.17433991743712,0,0.175172035784908,0.158142052348902,-0.070634055967203,0.0255757043892225,1
330,299112,37,0.0187835523147764,-0.0647844141683247,1.03252389611422,0,0.608714535784909,0.0426170532501354,-0.210803161233123,-0.15273793573564,1
331,299113,37,0.059060507154431,-0.13527638809888,0.542490754922121,0,0.400402035784908,0.0426170532501354,-0.070634055967203,0.0180209066858668,1
332,299114,37,0.00665155382964081,-0.0228582764811209,0.817762381919791,0,0.261022035784908,0.0426170532501354,-0.073392495546474,-0.169691103795728,1
333,299115,37,0.0032460460327572,-0.00645786366912535,0.587667719424131,0,0.248902035784908,-0.075647669147416,-0.0720132757568385,-0.0715034460988982,1
334,299116,39,-0.00787044753791659,0.0174968372551591,0.398569988486165,0,0.437009646457082,-0.331750195042256,-0.13799650121224,0.0207491136882868,1
335,299140,39,0.0104085353188389,-0.0330226483478737,0.859413457319415,0,0.410565160784908,-0.198021976493145,-0.213887042672331,0.116988756599826,1
336,299142,39,-0.0412031677053305,0.0417555162160793,0.00782520994432467,0,0.496530513271015,-0.414406391628586,-0.134409447508282,-0.0649477328671214,1
337,299143,48,0.0323099049149978,-0.238711242121946,1.25398674693356,0,0.484437192034909,0.0462700176485153,-0.060259219954533,0.0320326793562116,1
338,299144,48,0.064896913478193,-0.183071016019051,0.668179799446415,0,0.370859535784908,0.236766403267158,-0.0664963965982965,-0.0631936004401025,1
339,299147,39,0.0520423406353342,-0.257677985599221,1.00447529248223,0,0.437519535784908,0.0459846298048919,0.0572832042126826,0.0241356344388721,1
340,299150,31,0.025946565352516,-0.0856458465010031,0.890501691068474,0,0.551902035784908,-0.0836385287688722,0.0153947784113105,-0.177895719581607,1
341,299151,31,0.0513478326091387,-0.236603864711838,0.975662293288716,0,0.476152035784908,0.0371376066525654,0.0180598716553257,0.0195318662265379,1
342,299153,31,0.00935824350245645,-0.00918677433281918,-0.0390486728108275,0,0.57878806497374,-0.411792053443172,-0.0719154796202936,0.018128393663077,1
343,299154,31,0.101412605994316,-0.437628350882592,0.92490208945751,0,0.324652035784908,0.476406575557756,0.0140600209668365,0.184719494494563,1
344,299155,31,0.0303454305765973,-0.0767750077943166,0.587118550444008,0,0.265159298945995,-0.181858503966398,0.0142809623319339,0.0993440225289975,1
345,299157,31,0.130630952941422,-0.160479802789513,0.138524066051726,0,0.517435785784909,-0.0836385287688722,0.177084209347825,0.0196806531056821,1
346,299158,32,0.0799262173667857,-0.249485688253852,0.777148818446479,0,0.674995785784908,-0.0884330445417459,0.0181532179905815,0.156825643763961,1
